LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000115,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,23,24,24,24,24
E01000116,1,1,1,2,2,2,3,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,21,21,21,21
E01000117,1,1,2,2,3,3,4,5,6,7,8,9,10,12,13,14,16,17,19,20,22,23,24,25,27,28,29,30,30,30,30,30
E01000118,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,23,23,23,23,23
E01000119,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,24,25,26,26,26,26,26,26
E01000120,1,1,1,2,2,2,3,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,21,21,21,21
E01000121,0,1,1,1,2,2,2,3,3,4,4,5,6,7,7,8,9,10,11,11,12,13,14,14,15,16,16,17,17,17,17,17
E01000122,1,1,1,2,2,3,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,25,25,25,25,25
E01000123,1,1,1,2,2,2,3,3,4,5,6,6,7,8,9,10,11,12,13,14,16,17,17,18,19,20,21,21,21,21,21,21
E01000124,0,1,1,1,2,2,2,3,3,4,4,5,6,7,7,8,9,10,11,11,12,13,14,14,15,16,16,17,17,17,17,17
E01000125,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,9,9,9,10,10,10,10,10
E01000126,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,22,23,23,23,23,23
E01000127,0,1,1,1,2,2,2,3,4,4,5,6,7,7,8,9,10,11,12,13,14,15,16,16,17,18,19,19,19,19,19,19
E01000128,1,1,2,2,2,3,3,4,5,6,7,8,9,11,12,13,15,16,17,19,20,21,22,24,25,26,27,27,28,28,28,28
E01000129,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7
