LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000161,59,59,59,59,59,58,58,58,58,58,58,55,51,47,43,39,35,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000162,50,50,50,50,50,50,50,50,50,50,49,47,43,40,37,33,30,27,23,20,16,13,9,6,3,0,0,0,0,0,0,0
E01000163,63,63,63,63,63,63,63,63,63,63,62,59,55,51,46,42,38,33,29,25,21,16,12,8,3,0,0,0,0,0,0,0
E01000164,63,63,63,63,63,63,63,63,63,63,62,59,55,51,46,42,38,33,29,25,21,16,12,8,3,0,0,0,0,0,0,0
E01000165,57,57,57,57,57,57,57,57,57,57,57,54,50,46,42,38,34,30,27,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000166,38,38,38,38,38,38,38,38,38,38,38,36,33,31,28,25,23,20,18,15,13,10,7,5,2,0,0,0,0,0,0,0
E01000167,43,43,43,43,43,42,42,42,42,42,42,40,37,34,31,28,25,23,20,17,14,11,8,5,2,0,0,0,0,0,0,0
E01000168,33,33,33,33,33,33,33,33,33,33,33,31,29,27,24,22,20,18,15,13,11,9,6,4,2,0,0,0,0,0,0,0
E01000169,44,44,44,44,44,44,44,44,44,44,43,41,38,35,32,29,26,23,20,17,14,11,8,5,2,0,0,0,0,0,0,0
E01000170,52,52,52,52,52,52,52,52,52,52,51,49,45,42,38,35,31,28,24,21,17,14,10,6,3,0,0,0,0,0,0,0
E01000171,83,83,83,83,83,82,82,82,82,82,81,77,72,66,61,55,49,44,38,33,27,21,16,10,4,0,0,0,0,0,0,0
E01000172,39,39,39,39,39,39,39,39,39,39,38,36,34,31,28,26,23,21,18,15,13,10,7,5,2,0,0,0,0,0,0,0
E01000173,29,29,29,29,29,29,29,29,29,29,29,27,25,23,21,20,18,16,14,12,10,8,6,4,2,0,0,0,0,0,0,0
E01000174,93,93,93,93,93,93,93,93,93,93,91,87,81,74,68,62,56,49,43,37,30,24,18,11,5,0,0,0,0,0,0,0
E01000175,39,39,39,39,39,39,39,39,39,39,38,36,34,31,28,26,23,21,18,15,13,10,7,5,2,0,0,0,0,0,0,0
E01000176,61,61,61,61,61,61,61,61,61,61,60,57,53,49,45,41,36,32,28,24,20,16,12,7,3,0,0,0,0,0,0,0
E01000177,40,40,40,40,40,40,40,40,40,40,39,38,35,32,29,27,24,21,19,16,13,10,8,5,2,0,0,0,0,0,0,0
E01000178,49,49,49,49,49,49,49,49,49,49,49,46,43,40,36,33,30,26,23,20,16,13,9,6,3,0,0,0,0,0,0,0
E01000179,36,36,36,36,36,35,35,35,35,35,35,33,31,28,26,24,21,19,16,14,12,9,7,4,2,0,0,0,0,0,0,0
