LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000104,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1
E01000105,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,2,1,1,1,1
E01000106,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
E01000107,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1
E01000108,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,2,1,2,2,2,2,2,2,2
E01000110,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1
E01000111,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,2,1,2,2,2,1,1,2,2
E01000112,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2
E01000113,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
E01000114,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,2,2
E01000115,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
E01000116,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1
E01000117,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,2,2,2,3,2,3,3,2,3,3,4,3
E01000118,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,1,0,0,0,1,2,1,2,2,2,2,2,2,3,3,3,3,4,3,4,3,3,3
E01000119,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
