LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000122,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,21,29,34,38,44,49,58,66,73,81,86,83,78,73,67,63,56,50,43,37,31,25,20,15,12,9,7
E01000123,Electric Engagement,ZEV Mandate,PHEV cars,Number,23,31,37,42,46,52,58,67,77,85,93,99,95,90,84,77,72,66,59,52,45,37,30,24,19,14,11,8
E01000124,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,21,25,27,31,35,39,46,52,59,64,69,65,62,57,54,50,45,41,36,31,27,22,18,13,10,8,6
E01000126,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,31,36,38,42,47,53,63,72,80,88,95,90,85,79,75,68,62,57,50,43,37,30,24,18,14,11,8
E01000127,Electric Engagement,ZEV Mandate,PHEV cars,Number,14,20,25,30,33,37,41,47,54,59,64,69,65,62,58,54,49,45,40,35,30,25,20,16,13,10,7,6
E01000128,Electric Engagement,ZEV Mandate,PHEV cars,Number,19,26,33,38,43,48,53,63,71,78,85,92,88,82,77,72,66,61,54,47,40,34,27,22,17,13,10,8
E01000129,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,23,27,30,33,37,42,51,58,65,72,77,73,70,65,61,56,52,46,41,35,30,25,19,15,12,9,7
E01000130,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,23,27,31,34,38,43,51,58,65,72,77,72,68,65,60,56,50,45,40,34,29,23,18,14,11,8,7
E01000131,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,25,31,36,40,45,50,58,67,74,81,87,83,78,74,68,63,57,52,46,39,32,26,21,17,12,9,7
E01000132,Electric Engagement,ZEV Mandate,PHEV cars,Number,14,21,27,32,36,40,43,51,58,63,69,73,70,66,62,58,52,47,42,36,31,26,21,17,13,10,8,6
E01000133,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,23,30,33,37,41,47,54,61,68,73,79,75,70,65,61,56,51,45,39,34,28,23,19,14,11,8,6
E01000134,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,22,27,32,35,40,44,52,58,64,71,76,71,68,64,59,54,49,44,39,33,28,23,18,14,10,8,6
E01000135,Electric Engagement,ZEV Mandate,PHEV cars,Number,37,50,58,62,66,72,77,87,95,103,111,116,110,100,90,82,74,66,60,52,44,38,31,24,19,15,11,8
E01000136,Electric Engagement,ZEV Mandate,PHEV cars,Number,39,51,59,63,68,73,79,89,98,105,113,119,113,102,93,84,77,69,61,53,46,38,32,25,19,15,12,8
E01000137,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,27,32,33,36,40,43,50,56,62,67,72,68,64,60,56,51,46,41,36,30,26,21,16,13,9,8,5
E01000138,Electric Engagement,ZEV Mandate,PHEV cars,Number,27,36,45,49,53,58,63,69,77,83,90,95,90,84,79,71,64,58,51,44,38,32,26,21,16,13,9,7
E01000139,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,29,36,39,43,46,50,57,64,69,76,80,76,71,66,60,55,49,43,38,32,27,22,18,13,11,7,6
E01000140,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,26,31,33,36,40,43,50,56,61,66,71,67,63,59,55,49,45,39,34,29,25,21,16,12,9,7,5
E01000141,Electric Engagement,ZEV Mandate,PHEV cars,Number,54,69,78,80,82,86,88,93,99,103,108,110,105,96,88,81,73,67,59,52,45,38,32,25,20,15,12,9
E01000142,Electric Engagement,ZEV Mandate,PHEV cars,Number,29,39,46,50,53,58,63,71,79,87,93,98,93,88,82,76,70,63,55,49,42,35,29,23,17,14,11,7
E01000143,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,24,29,33,36,40,43,48,53,58,63,67,63,57,52,47,43,38,34,30,25,22,18,14,10,8,7,5
E01000144,Electric Engagement,ZEV Mandate,PHEV cars,Number,28,38,44,47,50,54,58,65,72,78,84,89,84,77,69,63,57,51,45,40,35,29,24,18,15,11,8,6
E01000145,Electric Engagement,ZEV Mandate,PHEV cars,Number,12,17,22,25,30,34,38,45,52,58,64,69,65,62,58,54,49,45,41,35,30,25,21,17,12,10,7,5
E01000146,Electric Engagement,ZEV Mandate,PHEV cars,Number,25,34,41,45,47,52,55,61,67,72,77,81,73,66,61,55,50,45,40,35,31,26,21,17,13,10,7,6
E01000147,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,35,43,48,52,58,64,73,83,90,98,104,100,93,87,81,74,67,59,51,45,37,30,24,19,14,11,8
E01000150,Electric Engagement,ZEV Mandate,PHEV cars,Number,60,78,87,91,97,107,117,134,151,165,179,191,181,172,160,148,137,125,112,98,84,71,57,46,35,27,21,16
E01000151,Electric Engagement,ZEV Mandate,PHEV cars,Number,12,16,19,20,22,25,27,32,37,42,45,49,46,43,41,38,35,33,29,26,22,19,15,12,9,7,6,4
