LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000093,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,5,5,6,6,7,8,8,9,10,10,11,11
E01000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000096,0,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,8,9,9
E01000097,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,5,6,6,7,7,8,8,8
E01000098,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5
E01000099,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,5
E01000100,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,5,6,7,7,8,8,9,10,10
E01000101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4
E01000102,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,6,6,7,7,8,8,8
E01000103,0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,17
E01000104,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,17
E01000105,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,7,8,10,11,12,13,15,16,17,18,20,20
E01000106,0,1,1,1,1,2,2,2,2,2,2,4,6,8,10,12,14,16,18,20,21,23,25,27,29,31,31
E01000107,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,9,10,11,12,13,14,16,17,18,18
E01000108,0,0,0,0,1,1,1,1,1,1,1,2,2,3,4,5,5,6,7,7,8,9,9,10,11,11,11
E01000110,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,6,7,8,9,9,10,11,12,13,13
E01000111,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,5,6,6,7,8,9,10,10,11,12,13,13
E01000112,0,1,1,2,2,2,3,3,3,3,4,5,7,8,10,11,13,14,16,17,19,20,22,23,25,26,26
E01000113,0,0,0,1,1,1,1,1,1,1,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,16
E01000114,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,14
E01000115,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,6,7,7,8,9,10,10,11,12,12
E01000116,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,5,6,7,7,8,9,9,10,10
E01000117,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,4,5,5,6,6,7,7,8,8,8
E01000118,0,0,0,1,1,1,1,1,1,1,1,2,3,4,4,5,6,7,8,8,9,10,11,12,12,13,13
E01000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
E01000121,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,9
E01000123,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,4,5,6,6,7,8,8,9,10,10,11,11
E01000124,0,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,16
E01000126,1,1,1,2,2,2,3,3,3,4,4,7,10,13,16,19,22,25,28,30,33,36,39,42,45,48,48
E01000127,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,5,6,7,7,8,9,9,10,10
E01000128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4
E01000129,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15
E01000130,0,0,0,0,1,1,1,1,1,1,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,15
E01000131,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,6,7,7,8,9,10,10,11,12,12
E01000132,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,5,6,7,7,8,9,9,10,10
E01000133,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,5,6,6,7,8,8,9,9
E01000134,0,0,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16
E01000135,0,0,0,0,0,1,1,1,1,2,2,3,5,6,8,9,11,12,14,15,17,18,19,20,22,23,23
E01000136,0,1,1,2,2,3,3,4,4,5,5,8,12,16,19,23,27,30,34,38,41,45,48,52,55,59,59
E01000137,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6
E01000138,0,1,1,1,1,1,2,2,2,2,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,33
E01000139,0,0,0,0,0,0,1,1,1,1,1,2,4,6,7,9,11,12,14,15,17,19,20,22,24,25,25
E01000140,0,1,1,2,2,2,3,3,4,4,4,7,10,13,16,19,22,25,28,31,34,37,40,43,45,48,49
E01000141,0,1,2,3,4,4,5,5,6,7,7,10,12,15,18,21,24,26,29,32,35,37,40,43,46,49,49
E01000142,2,3,4,5,7,7,9,10,11,12,12,15,17,20,22,25,27,30,32,35,37,40,42,45,47,50,51
E01000143,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,5,6,7,8,8,9,10,11,11,12,12
E01000144,1,2,3,4,6,6,8,9,10,11,11,15,20,24,29,33,37,41,46,50,54,58,62,67,71,76,76
E01000145,0,0,0,0,1,1,1,1,1,1,1,3,4,6,8,9,11,12,14,16,17,19,20,22,23,25,25
